regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
b19d76b4	Abbeville County, South Carolina	2020-04-23		0	23							https://www.scdhec.gov/
1c832332	Abrantes	2020-04-23	2020-04-22T23:00:00		7							https://covid19.min-saude.pt/
cdc74dcb	Abruzzo	2020-04-23		280	2785	405	31187	2100				http://www.salute.gov.it/
9dc3f935	Acadia Parish, Louisiana	2020-04-23		7	117							http://ldh.la.gov/
6d88a149	Accomack County, Virginia	2020-04-23	2020-04-23T10:00:00	2	76							http://www.vdh.virginia.gov/
412d8d65	Acre (state)	2020-04-23	2020-04-23T20:00:00	10	227							https://covid.saude.gov.br/
f77100ac	Ada County, Idaho	2020-04-23	2020-04-23T17:00:00	14	601							https://coronavirus.idaho.gov/
73b891f1	Adair County, Iowa	2020-04-23		0	1							https://idph.iowa.gov/
b9d16f19	Adair County, Kentucky	2020-04-23		5	63							https://govstatus.egov.com/
2cf79e0a	Adair County, Missouri	2020-04-23			12							https://health.mo.gov/
d6deea01	Adair County, Oklahoma	2020-04-23	2020-04-23T00:00:00	3	50	23						https://coronavirus.health.ok.gov/
c80c5b17	Adams County, Colorado	2020-04-23			1082							https://covid19.colorado.gov/
b187468f	Adams County, Idaho	2020-04-23	2020-04-23T17:00:00		3							https://coronavirus.idaho.gov/
0dbd5949	Adams County, Illinois	2020-04-23		0	29							http://www.dph.illinois.gov/
c269c5fb	Adams County, Indiana	2020-04-23	2020-04-23T12:00:00	1	7		111					https://coronavirus.in.gov/
a6a1879a	Adams County, Mississippi	2020-04-23	2020-04-23T05:00:00+0000	7	101							https://msdh.ms.gov/
e77d98db	Adams County, Nebraska	2020-04-23			103							http://dhhs.ne.gov/
ad1cbe53	Adams County, Ohio	2020-04-23	2020-04-23T14:00:00		4							https://coronavirus.ohio.gov/
77a7c3a0	Adams County, Pennsylvania	2020-04-23	2020-04-23T16:45:00+0000	1	95		1381					https://www.health.pa.gov/
e0dde52d	Adams County, Washington	2020-04-23		0	43							https://coronavirus.wa.gov/
3643edc9	Adams County, Wisconsin	2020-04-23	2020-04-23T06:00:00	1	4							https://www.dhs.wisconsin.gov/
1bdd90f4	Addison County, Vermont	2020-04-23	2020-04-23T10:52:00	2	61							https://www.healthvermont.gov/
b68da6b9	Afghanistan	2020-04-23	2020-04-24T11:42:31	40	1176			84	4			https://www.ecdc.europa.eu/
31401fed	Aiken County, South Carolina	2020-04-23		5	84							https://www.scdhec.gov/
