regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
b19d76b4	Abbeville County, South Carolina	2020-04-25		0	24							https://www.scdhec.gov/
1c832332	Abrantes	2020-04-25	2020-04-24T23:00:00		7							https://covid19.min-saude.pt/
cdc74dcb	Abruzzo	2020-04-25		286	2803	438	32397	2079				http://www.salute.gov.it/
9dc3f935	Acadia Parish, Louisiana	2020-04-25		7	129							http://ldh.la.gov/
6d88a149	Accomack County, Virginia	2020-04-25	2020-04-24T10:00:00	3	100							http://www.vdh.virginia.gov/
412d8d65	Acre (state)	2020-04-25	2020-04-24T20:00:00	11	234							https://covid.saude.gov.br/
f77100ac	Ada County, Idaho	2020-04-24	2020-04-24T17:00:00	14	610							https://coronavirus.idaho.gov/
73b891f1	Adair County, Iowa	2020-04-25		0	1							https://idph.iowa.gov/
b9d16f19	Adair County, Kentucky	2020-04-25		6	80							https://govstatus.egov.com/
2cf79e0a	Adair County, Missouri	2020-04-25			12							https://health.mo.gov/
d6deea01	Adair County, Oklahoma	2020-04-24	2020-04-24T00:00:00	3	53	32						https://coronavirus.health.ok.gov/
c80c5b17	Adams County, Colorado	2020-04-24		57	1252							https://covid19.colorado.gov/
b187468f	Adams County, Idaho	2020-04-24	2020-04-24T17:00:00		3							https://coronavirus.idaho.gov/
0dbd5949	Adams County, Illinois	2020-04-25		0	32							http://www.dph.illinois.gov/
c269c5fb	Adams County, Indiana	2020-04-24	2020-04-24T12:00:00	1	7		114					https://coronavirus.in.gov/
a6a1879a	Adams County, Mississippi	2020-04-25	2020-04-24T05:00:00+0000	7	104							https://msdh.ms.gov/
e77d98db	Adams County, Nebraska	2020-04-25			120		163					http://dhhs.ne.gov/
ad1cbe53	Adams County, Ohio	2020-04-25	2020-04-24T14:00:00		4							https://coronavirus.ohio.gov/
77a7c3a0	Adams County, Pennsylvania	2020-04-25	2020-04-24T16:00:00+0000	1	110		1439					https://www.health.pa.gov/
e0dde52d	Adams County, Washington	2020-04-24		0	45							https://coronavirus.wa.gov/
3643edc9	Adams County, Wisconsin	2020-04-25	2020-04-25T06:00:00	1	4							https://www.dhs.wisconsin.gov/
1bdd90f4	Addison County, Vermont	2020-04-25	2020-04-24T09:46:00	2	61							https://www.healthvermont.gov/
b68da6b9	Afghanistan	2020-04-24	2020-04-24T11:42:31	42	1281			105	2			https://www.ecdc.europa.eu/
31401fed	Aiken County, South Carolina	2020-04-25		6	86							https://www.scdhec.gov/
a25ee035	Aitkin County, Minnesota	2020-04-25	2020-04-24T00:00:00	0	1							https://www.health.state.mn.us/
ffba01d8	Alabama	2020-04-25		209	6026		52641					https://covid19.alabama.gov/
f17150e0	Alachua County, Florida	2020-04-25		1	244							https://floridahealthcovid19.gov/
63a49dd0	Alagoas	2020-04-25	2020-04-24T20:00:00	27	413							https://covid.saude.gov.br/
5ad00856	Alamance County, North Carolina	2020-04-25	2020-04-24T14:40:00+0000	1	73							https://www.ncdhhs.gov/
f018a4e1	Alameda County, California	2020-04-24		56	1336			81				https://www.cdph.ca.gov/
b44fe8fa	Alamosa County, Colorado	2020-04-24		2	10							https://covid19.colorado.gov/
b73c0248	Alaska	2020-04-24	2020-04-24T09:00:00	9	339	208						http://www.dhss.alaska.gov/
2f6bda35	Albania	2020-04-25		28	678	394						https://www.who.int/
e4858985	Albany County, New York	2020-04-25	2020-04-24T14:00:00	23	805		8032					https://coronavirus.health.ny.gov/
d2096c78	Albany County, Wyoming	2020-04-25	2020-04-24T06:00:00+0000		6							https://health.wyo.gov/
d90f9aba	Albemarle County, Virginia	2020-04-25	2020-04-24T10:00:00	3	72							http://www.vdh.virginia.gov/
83a41259	Albergaria-a-Velha	2020-04-25	2020-04-24T23:00:00		61							https://covid19.min-saude.pt/
a1904013	Alberta	2020-04-25	2020-04-24T15:00:00	72	4017	1397	116859					https://www.canada.ca/
4c6eca91	Albufeira	2020-04-25	2020-04-24T23:00:00		68							https://covid19.min-saude.pt/
d693268d	Alcanena	2020-04-25	2020-04-24T23:00:00		5							https://covid19.min-saude.pt/
1810242f	Alcochete	2020-04-25	2020-04-24T23:00:00		14							https://covid19.min-saude.pt/
2d588659	Alcona County, Michigan	2020-04-25	2020-04-24T19:00:00+0000		4							https://www.michigan.gov/
c689dbab	Alcorn County, Mississippi	2020-04-25	2020-04-24T05:00:00+0000	0	9							https://msdh.ms.gov/
f644ff89	Alenquer, Portugal	2020-04-25	2020-04-24T23:00:00		16							https://covid19.min-saude.pt/
f898a03e	Alexander County, Illinois	2020-04-25		0	2							http://www.dph.illinois.gov/
b36c6c36	Alexander County, North Carolina	2020-04-25	2020-04-24T14:40:00+0000	0	4							https://www.ncdhhs.gov/
