id	type	woeId	label	wikiId	longitude	latitude	population	stateLabel	stateId	countryLabel	countryId	parentId
b19d76b4	CountyAdminArea	12589800	Abbeville County, South Carolina	Abbeville_County,_South_Carolina	-82.49045	34.24865	24527	South Carolina	540d0a4b	United States	f4aa12bb	540d0a4b
1c832332	CityTown	735305	Abrantes	Abrantes	-8.19993	39.46137	45350	Santarém, Portugal	9f5562f7	Portugal	a2222b56	9f5562f7
cdc74dcb	StateAdminArea	7153350	Abruzzo	Abruzzo	13.9009	42.2888	1307919			Italy	09edd772	09edd772
9dc3f935	CountyAdminArea	12588596	Acadia Parish, Louisiana	Acadia_Parish,_Louisiana	-92.38697	30.26516	62045	Louisiana	d8434284	United States	f4aa12bb	d8434284
6d88a149	CountyAdminArea	12590304	Accomack County, Virginia	Accomack_County,_Virginia	-75.65912	37.74323	32316	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
412d8d65	StateAdminArea	2344844	Acre (state)	Acre_(state)	-70.30189	-9.12846	733559			Brazil	618cd974	618cd974
f77100ac	CountyAdminArea	12588034	Ada County, Idaho	Ada_County,_Idaho	-116.24447	43.45983	481587	Idaho	342f5b41	United States	f4aa12bb	342f5b41
73b891f1	CountyAdminArea	12588272	Adair County, Iowa	Adair_County,_Iowa	-94.47101	41.33064	7152	Iowa	12a2001f	United States	f4aa12bb	12a2001f
b9d16f19	CountyAdminArea	12588476	Adair County, Kentucky	Adair_County,_Kentucky	-85.2851	37.11861	19202	Kentucky	c32ba685	United States	f4aa12bb	c32ba685
2cf79e0a	CountyAdminArea	12588966	Adair County, Missouri	Adair_County,_Missouri	-92.60072	40.19177	25343	Missouri	2fa59461	United States	f4aa12bb	2fa59461
d6deea01	CountyAdminArea	12589615	Adair County, Oklahoma	Adair_County,_Oklahoma	-94.6402	35.89994	22194	Oklahoma	ca8120a2	United States	f4aa12bb	ca8120a2
c80c5b17	CountyAdminArea	12587728	Adams County, Colorado	Adams_County,_Colorado	-104.37974	39.86963	517421	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
b187468f	CountyAdminArea	12588035	Adams County, Idaho	Adams_County,_Idaho	-116.4943	44.85638	4294	Idaho	342f5b41	United States	f4aa12bb	342f5b41
0dbd5949	CountyAdminArea	12588078	Adams County, Illinois	Adams_County,_Illinois	-91.21246	39.97857	65435	Illinois	33204009	United States	f4aa12bb	33204009
c269c5fb	CountyAdminArea	12588180	Adams County, Indiana	Adams_County,_Indiana	-84.93804	40.74546	35777	Indiana	2e86d5a1	United States	f4aa12bb	2e86d5a1
d80e71c8	CountyAdminArea	12588273	Adams County, Iowa	Adams_County,_Iowa	-94.69948	41.02915	3602	Iowa	12a2001f	United States	f4aa12bb	12a2001f
a6a1879a	CountyAdminArea	12588884	Adams County, Mississippi	Adams_County,_Mississippi	-91.40195	31.47064	30693	Mississippi	264d2a09	United States	f4aa12bb	264d2a09
e77d98db	CountyAdminArea	12589138	Adams County, Nebraska	Adams_County,_Nebraska	-98.50094	40.5245	31363	Nebraska	99e8e943	United States	f4aa12bb	99e8e943
afa3cdeb	CountyAdminArea	12589474	Adams County, North Dakota	Adams_County,_North_Dakota	-102.49687	46.11381	2216	North Dakota	ba23d922	United States	f4aa12bb	ba23d922
ad1cbe53	CountyAdminArea	12589527	Adams County, Ohio	Adams_County,_Ohio	-83.4866	38.82597	27698	Ohio	d74c75f2	United States	f4aa12bb	d74c75f2
77a7c3a0	CountyAdminArea	12589728	Adams County, Pennsylvania	Adams_County,_Pennsylvania	-77.21347	39.89482	103009	Pennsylvania	08e34ff1	United States	f4aa12bb	08e34ff1
e0dde52d	CountyAdminArea	12590440	Adams County, Washington	Adams_County,_Washington	-118.66444	46.99769	19983	Washington	4211c98d	United States	f4aa12bb	4211c98d
3643edc9	CountyAdminArea	12590534	Adams County, Wisconsin	Adams_County,_Wisconsin	-89.81296	43.94518	20220	Wisconsin	a5a6fe10	United States	f4aa12bb	a5a6fe10
1bdd90f4	CountyAdminArea	12590290	Addison County, Vermont	Addison_County,_Vermont	-73.08976	44.02863	36777	Vermont	351cf73c	United States	f4aa12bb	351cf73c
b68da6b9	Country	23424739	Afghanistan	Afghanistan	67.67894	33.93045	37172386					1713c6c2
31401fed	CountyAdminArea	12589801	Aiken County, South Carolina	Aiken_County,_South_Carolina	-81.59958	33.53742	170872	South Carolina	540d0a4b	United States	f4aa12bb	540d0a4b
a25ee035	CountyAdminArea	12588797	Aitkin County, Minnesota	Aitkin_County,_Minnesota	-93.4329	46.59217	15886	Minnesota	11f1fa88	United States	f4aa12bb	11f1fa88
ffba01d8	StateAdminArea	2347559	Alabama	Alabama	-86.83158	32.78488	4903185			United States	f4aa12bb	f4aa12bb
f17150e0	CountyAdminArea	12587803	Alachua County, Florida	Alachua_County,_Florida	-82.35396	29.68115	269043	Florida	ac78ae1d	United States	f4aa12bb	ac78ae1d
63a49dd0	StateAdminArea	2344845	Alagoas	Alagoas	-36.6938	-9.65535	3120494			Brazil	618cd974	618cd974
5ad00856	CountyAdminArea	12589374	Alamance County, North Carolina	Alamance_County,_North_Carolina	-79.38954	36.04665	169509	North Carolina	2a863897	United States	f4aa12bb	2a863897
f018a4e1	CountyAdminArea	12587670	Alameda County, California	Alameda_County,_California	-121.90585	37.6797	1671329	California	2902c400	United States	f4aa12bb	2902c400
b44fe8fa	CountyAdminArea	12587729	Alamosa County, Colorado	Alamosa_County,_Colorado	-105.74602	37.5542	16233	Colorado	dd0a216b	United States	f4aa12bb	dd0a216b
b73c0248	StateAdminArea	2347560	Alaska	Alaska	-149.106	63.0365	731545			United States	f4aa12bb	f4aa12bb
2f6bda35	Country	23424742	Albania	Albania	20.17001	41.15265	2866376					1713c6c2
e4858985	CountyAdminArea	12589312	Albany County, New York	Albany_County,_New_York	-73.97103	42.61467	305506	New York (state)	f7a12080	United States	f4aa12bb	f7a12080
d2096c78	CountyAdminArea	12590606	Albany County, Wyoming	Albany_County,_Wyoming	-105.79748	41.71486	38880	Wyoming	fa783aae	United States	f4aa12bb	fa783aae
d90f9aba	CountyAdminArea	12590305	Albemarle County, Virginia	Albemarle_County,_Virginia	-78.52358	38.00034	109330	Virginia	b8fc73b9	United States	f4aa12bb	b8fc73b9
83a41259	CityTown|CountyAdminArea	735558	Albergaria-a-Velha	Albergaria-a-Velha	-8.47944	40.69287	24146			Portugal	a2222b56	a2222b56
a1904013	StateAdminArea	2344915	Alberta	Alberta	-114.99993	54.49857	4067175			Canada	91a4263f	91a4263f
4c6eca91	CityTown		Albufeira	Albufeira	-8.245833	37.08972						
d693268d	CityTown|CountyAdminArea	735581	Alcanena	Alcanena	-8.66722	39.45927	14334	Santarém, Portugal	9f5562f7	Portugal	a2222b56	9f5562f7
1810242f	CityTown|CountyAdminArea	735621	Alcochete	Alcochete	-8.96055	38.75285	10120	Setúbal	5bd8731f	Portugal	a2222b56	5bd8731f
2d588659	CountyAdminArea	12588714	Alcona County, Michigan	Alcona_County,_Michigan	-83.57952	44.68418	10405	Michigan	12ff3a85	United States	f4aa12bb	12ff3a85
